iter	R2	RMSE
0	0.01488781374	3.937256139
1	0.02904765245	3.908856986
2	0.04232557095	3.882037879
3	0.05418216078	3.857932045
4	0.06762589868	3.830415832
5	0.07909210786	3.806790006
6	0.091156121	3.781773083
7	0.1002299285	3.762847301
8	0.1121377296	3.7378651
9	0.1222268539	3.716567015
10	0.1338957604	3.691780787
11	0.1441329124	3.669897934
12	0.1553780358	3.645709068
13	0.1651806192	3.624491491
14	0.1738397926	3.605644953
15	0.1827139483	3.586227748
16	0.1903573817	3.56941877217	0.2204213857	3.38609086
1818	0.2079406221	3.530446976
19	0.2154437352	3.51368537220	0.2229137318	3.496917934221	0.2310030199	3.478669266222	0.2396419706	3.459074305223	0.2478209084	3.440419905224	0.2557394332	3.422262573225	0.2621795807	3.407423844
26	0.2704389091	3.388298434
27	0.2767846407	3.37353052
28	0.2836881749	3.357390702
29	0.2901167352	3.34229125
30	0.2970131849	3.326016603
31	0.302636546	3.312687089
32	0.3089950459	3.297550108
33	0.314248095	3.284992137
34	0.3199009685	3.271424496
35	35	0.3622654575	3.06258836	0.3327533834	3.240365601
37	0.3376934822	3.228347957
38	038	0.3806845146	3.01803741
39	0.3860593702	3.0049140	0.3546647412	3.186717168
41	0.3598662865	3.173848361
42	0.42	0.4037364668	2.9613343	0.3686046313	3.15211112
44	0.344	0.4148244417	2.933673232
45	0.4203824723	2.919707895
46	0.4242127088	2.910047	0.3846796563	3.111726798
48	048	0.4342656057	2.884529206
49	0.4393243075	2.87160350	0.3978119424	3.078342174
51	051	0.4469492601	2.852010617
52	0.4513013627	2.840766841
53	0.4550753261	2.8309854	0.4141225898	3.036366558
55	055	0.4639096149	2.807938931
56	0.4678518331	2.797557	0.425097951	3.007791663
58	0.4258	0.4753448323	2.777829761
59	0.4795804579	2.766594105
60	0.4836379765	2.761	0.4384260455	2.972722031
62	0.441462	0.4891218858	2.763	0.444563	0.4926916017	264	0.4482116771	2.946707821
65	0.4519116611	2.936811716
66	0.4546072442	2.929580968
67	0.456969446	2.923229792
68	0.4597464122	2.915745761
69	0.4624283224	2.908499629
70	0.4652695847	2.900803206
71	0.4678056958	2.893916088
72	0.4707849055	2.885804687
73	0.4732301096	2.879130131
74	0.4750796837	2.874071142
75	0.4780271207	2.865990802
76	0.4805619078	2.859023469
77	0.4830993366	2.852031828
78	0.485606766	2.845105969
79	0.4876642827	2.839410211
80	0.4899938908	2.832947408
81	0.4920734003	2.82716595
82	0.494505608	2.820388882
83	0.4961796693	2.815714824
84	0.4982115392	2.810031304
85	0.500164403	2.804557924
86	0.5027830757	2.797201641
87	0.5050970629	2.790685133
88	0.5073217372	2.784405761
89	0.5096150614	2.777917761
90	0.5117135490	0.564880397991	0.5137543391	0.567410198	92	0.515771592	0.569699166693	0.517632993	0.57173150694	0.519273483	2.750425351
95	0.521474648495	0.575214529	2.499501928
96	0.577079297	0.524628689	2.735062828
98	0.5261140901	298	0.58081499	0.527315069	2.727323796
100	0.5288024685	2.723029375
101	0.5301556296	2.719116635
102	0.5317019665	2.714638412
103	0.5338435337	2.708424162
104	0.5353015638	2.704185181
105	0.536549512105	0.59265768106	0.537780531106	0.594486107	0.5393372913	2.69241717
108	0.5406443541	2.688594788
109	0.541764339	2.685315168
110	0.542990525	2.681719964
111	0.5441800096	2.678227758
112	0.5455782145	2.674116938
113	0.5470741582	2.669711751
114	0.5483435885	2.665967881
115	0.549780689	2.661723154
116	0.5507263223	2.658926365
117	0.5519052038	2.6554356
118	0.5527063914	2.653060596
119	0.5540745254	2.649000039
120	0.555828162	2.643786208
121	0.5570607785	2.640115288
122	0.5583859082	2.636163148
123	0.5596332085	2.63243771
124	0.5607245215	2.629173845
125	0.5617951635	2.62596786
126	0.5633663862	126	0.569037127	0.5647659991	2.61705127
128	0.5657616243	2.614056221
129	0.5667675468	2.611026707
130	0.5678107947	130	0.573083131	0.5686410774	2.605374846
132	0.5700975875	2.600972522
133	0.5712050323133	0.5766589134	0.5722804139	2.594360909
135	0.5734886666	2.59069395
136	0.574308963136	0.57936213137	0.5755832596	2.584324685
138	0.576793533	2.580637304
139	0.5778184552139	0.5828476739	2.586761982
140	0.583837141	0.5799065967	2.571128332
142	0.580710252	2.568667819
143	0.5816594044	2143	0.58673144	0.5826720817	2.562651458
145	0.5835263145	2.560027356
146	0.584406296	2.557321341
147	0.5852379727	2.554761233
148	0.5862092385	2.551768183
149	0.5868243537	2.549870829
150	0.5875833393	2.547527752
151	0.5884199486	2.544942542
152	0.5890626459	2.542954755
153	0.5901778001	2.539502023
154	0.5908902264	2.537293755
155	0.5915090368	2.535374101
156	0.5922794222	2.532982204
157	0.5932368221	2.530006511
158	0.5938679881	2.52804287
159	0.5944449016	2.52624668
160	0.5954321857	2.523169856
161	0.5961073583	2.521063551
162	0.5967612329	2.51902201
163	0.5973244296	2.517262258
164	0.5983907465	2.51164	0.60165	0.5990605307	2.5165	0.604166	0.5998449332	2.5166	166	0.6601167279	2.235803051
167	0168	0.6012588546	2.5168	0.606169	0.602300496	2.50169	0.60170	0.6029108767	2170170	0.6076642868	2.508638342
171	0.6082369022	2.50680699
172	0.6090154965	2.504314724
173	0.6098708473	2.501573899
174	0.6106481704	2.499080492
175	0.6111950625	2.497324744
176	0.6119470461	2.49490855
177	0.6126539657	2.492635016
178	0.6134921556	2.48993661
179	0.6142534334	2.487483274
180	0.6149752093	2.485155002
181	0.6156932592	2.482836582
182	0.6165023278	2.480221687
183	0.6172133933	2.477921258
184	0.6176195609	2.476606272
185	0.618094302	2.475068389
186	0.618666021	2.473215087
