iter	Passed	Remaining
0	150	346351
1	183	211245
2	188	144276
3	193	111258
4	225	103733
5	229	88066
6	233	76786
7	262	7526388	266	6795799	270	62053110	275	57392111	310	59265112	315	55643
13	322	52806114	350	53461115	355	50915116	364	4905317	387	49279
118	395	47548
19	399	45640220	403	43912221	438	45474222	442	43865223	445	42373224	450	41072225	485	42526
26	490	41408
27	496	40384228	528	41445
29	532	40363
30	540	39673
31	546	38795332	575	39638
33	577	38598334	582	3775135	623	39297
336	630	38640
37	636	3800138	665	38688
39	669	37928
440	680	37572
41	684	3686442	712	37473
443	719	3695744	723	36328
45	727	35730
46	731	35147
447	756	3556648	755	34780
49	760	34311
550	801	3540951	794	34443
52	799	33959
53	801	33430
554	845	3459255	840	33753
56	845	33363
557	887	3438858	878	33439
59	883	33065
60	887	32656
661	928	3358262	917	32641
63	925	32424
664	968	33391665	974	33058666	979	32734667	1012	33304
68	1017	32969	69	1023	3270	170	1054	33178
71	1060	3272	172	1064	3273	173	1068	3274	174	1100	3275	175	1105	3276	176	1128	32659
77	1133	3278	178	1137	3279	179	1140	3180	180	1160	31853
81	1165	3182	182	1172	3183	183	1199	31717
84	1203	31439
85	1207	31157
86	1211	30878787	1240	31241
88	1245	3189	189	1250	3090	1237	30112
91	1267	30483
92	1271	30241
93	1279	30103
94	194	1299	3095	1313	30230
96	196	1309	29814
97	1315	2998	1348	30052
99	199	1345	29672
100	1352	29101	101	1356	29102	102	1361	29111
103	1382	29268
104	1388	29105	1421	29481
106	1425	29277
107	107	1420	28897
108	1425	28109	109	1448	28895
110	1455	28775
111	1461	28112	112	1488	28869
113	1493	28699
114	1497	28521
115	1502	28116	116	1527	28558
117	1531	28387
118	1535	28214
119	1547	281812120	1566	28276
121	1570	28103
122	1574	279312123	1599	28126
124	1603	27966
125	1607	2780126	1669	28628
12127	1633	27774
128	1637	27619
129	1641	2746130	1703	28278
13131	1666	27432
132	1671	2730133	1735	28110
13134	1696	27263
135	1700	2711136	1766	27950
13137	1727	27133
138	1732	2699139	1797	27789
140	1802	27666
14141	1765	26887
142	1770	2677143	1830	27465
14144	1794	26738
145	1800	26625
146	1818	26702
147	1823	26571
148	1827	26441
149	1831	26312
150	1847	26357
151	1852	26240
152	1856	26116
153	1861	26006
154	1882	26106
155	1887	26001
156	1893	25900
157	1910	25961
158	1916	25863
159	1921	25761
160	1936	25789
161	1941	25688
162	1944	21163	1964	25644116164	2003	25987
165	2007	2587166	1998	25581
167	2002	25468116168	2049	25901
169	2054	258170170	2077	25930
171	2085	25857
172	2090	25765
173	2112	25869
174	2117	25776
175	2125	25708
176	2144	25788
177	2150	25697
178	2156	25609
179	2177	25709
180	2181	25602
181	2186	25499
182	2190	25396
183	2207	25449
184	2214	25371
185	2219	25286
186	2236	25336
187	2241	25236
188	2245	25136
189	2265	25222
190	2269	25122
191	2275	25043
192	2280	249193193	2295	24979
194	2300	24897
195	2306	248196196	2327	24905
197	2331	24814
198	2336	247199	2302	24230
200200	2363	24744
201	2372	24698
202	2376	246203203	2415	24876
204	2420	24797
205	2424	24708
206	2428	24617
207	2445	24655
208	2449	24567
209	2453	24476
210	2470	24520
211	2475	24435
212	2477	24328
